iter	Passed	Remaining
0	0	69
1	1	67
2	2	68
3	2	62
4	3	61
5	3	60
6	4	60
7	5	60
8	5	59
9	6	58
10	7	57
11	7	57
12	8	58
13	9	57
14	9	56
15	10	55
16	11	55
17	11	53
18	12	53
19	13	52
20	13	52
21	14	52
22	15	51
23	15	50
24	16	49
25	17	49
26	17	48
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	40
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
